Date,Country/Region,New cases/1M
2020-03-03 00:00:00,Denmark,0.12156576707999027
2020-03-03 00:00:00,Germany,0.45231025838321304
2020-03-03 00:00:00,Italy,8.170323502384674
2020-03-03 00:00:00,"Korea, South",17.574422412786877
2020-03-03 00:00:00,Spain,0.9891204704222554
2020-03-03 00:00:00,Sweden,0.6104599255951094
2020-03-03 00:00:00,US,0.06769108790386272
2020-03-04 00:00:00,China,0.0036681402109914247
2020-03-04 00:00:00,Denmark,0.3039144176999757
2020-03-04 00:00:00,Germany,0.8068237041430286
2020-03-04 00:00:00,Italy,10.192188547599542
2020-03-04 00:00:00,"Korea, South",9.12796087714665
2020-03-04 00:00:00,Spain,1.2471518974889306
2020-03-04 00:00:00,Sweden,1.4244064930552554
2020-03-04 00:00:00,US,0.11281847983977121
2020-03-05 00:00:00,China,0.004169376761561682
2020-03-05 00:00:00,Denmark,0
2020-03-05 00:00:00,Germany,2.689412347143429
2020-03-05 00:00:00,Italy,13.423858087082325
2020-03-05 00:00:00,"Korea, South",9.644248257075759
2020-03-05 00:00:00,Spain,0.8170995190444718
2020-03-05 00:00:00,Sweden,6.002855935018576
2020-03-05 00:00:00,US,0.22241357454126323
2020-03-06 00:00:00,China,0.004146593281990306
2020-03-06 00:00:00,Denmark,0.7901774860199368
2020-03-06 00:00:00,Germany,2.298225096649839
2020-03-06 00:00:00,Italy,13.705593380268002
2020-03-06 00:00:00,"Korea, South",10.573565540948156
2020-03-06 00:00:00,Spain,3.074874505877881
2020-03-06 00:00:00,Sweden,0.7122032465276277
2020-03-06 00:00:00,US,0.15149910149912132
2020-03-07 00:00:00,China,0.0024606157937085336
2020-03-07 00:00:00,Denmark,0
2020-03-07 00:00:00,Germany,1.5769736035522834
2020-03-07 00:00:00,Italy,21.262728303366202
2020-03-07 00:00:00,"Korea, South",9.293172838723965
2020-03-07 00:00:00,Spain,2.2577749868334087
2020-03-07 00:00:00,Sweden,6.1045992559510935
2020-03-07 00:00:00,US,0.4609440747739223
2020-03-08 00:00:00,China,0.0018454618452814
2020-03-08 00:00:00,Denmark,0.7901774860199368
2020-03-08 00:00:00,Germany,2.946128980279847
2020-03-08 00:00:00,Italy,26.930579495689848
2020-03-08 00:00:00,"Korea, South",5.761767160008859
2020-03-08 00:00:00,Spain,3.8704714060001297
2020-03-08 00:00:00,Sweden,4.273219479165766
2020-03-08 00:00:00,US,0.3868062165935013
2020-03-09 00:00:00,China,0.0013670087742825186
2020-03-09 00:00:00,Denmark,3.343058594699732
2020-03-09 00:00:00,Germany,1.6869950177536055
2020-03-09 00:00:00,Italy,31.388626193745583
2020-03-09 00:00:00,"Korea, South",3.4487996979264492
2020-03-09 00:00:00,Spain,8.83757637703363
2020-03-09 00:00:00,Sweden,4.57844944196332
2020-03-09 00:00:00,US,0.21274341912642566
2020-03-10 00:00:00,China,0.0009796896215691383
2020-03-10 00:00:00,Denmark,10.454655968879164
2020-03-10 00:00:00,Germany,3.4351130433968344
2020-03-10 00:00:00,Italy,18.97570062927069
2020-03-10 00:00:00,"Korea, South",0.7434538270979173
2020-03-10 00:00:00,Spain,13.52514730207823
2020-03-10 00:00:00,Sweden,10.886535339779451
