Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-09-10,2076,12561,10.7,11,1281,91,2,66,832
2016-09-11,1909,12174,8.55,12,1202,220,18,0,738
2016-09-12,1843,10320,7.24,17,1242,198,0,0,632
2016-09-13,1900,10225,7.18,23,1253,154,26,7,676
2016-09-14,1968,10448,7.33,30,1240,136,33,31,760
2016-09-15,1905,10537,7.4,32,1264,147,16,13,678
2016-09-16,1955,11641,8.17,24,1231,183,10,16,756
2016-09-17,1869,12264,8.61,13,1224,197,18,1,676
2016-09-18,1907,11977,8.41,13,1233,169,32,6,702
2016-09-19,1868,11462,8.05,18,1227,213,0,0,677
2016-09-20,1819,10598,7.44,16,1251,168,21,0,607
2016-09-21,1885,10352,7.27,17,1251,137,52,0,678
2016-09-22,1812,6627,4.68,15,1242,198,0,0,612
2016-09-23,2324,10427,7.32,5,1052,322,38,28,1307
2016-09-24,1774,3947,2.77,1,1242,198,0,0,572
2016-09-25,2182,10180,7.15,27,1135,242,20,43,1083
2016-09-26,2133,9093,6.38,3,1143,248,30,19,1027
2016-09-27,1933,6789,4.77,2,1227,170,21,22,745
2016-09-28,1618,2594,1.82,2,1319,121,0,0,337
2016-09-29,1706,3855,2.71,3,1268,172,0,0,473
2016-09-30,1839,6828,4.96,14,1247,168,10,15,625
2016-10-01,2034,6969,4.89,24,1145,281,10,4,917
2016-10-02,2219,17394,12.21,30,1114,198,108,20,1130
2016-10-03,1709,4382,3.08,14,1309,131,0,0,435
2016-10-04,1822,4973,3.49,18,1296,144,0,0,563
2016-10-05,1729,4662,3.27,19,1300,140,0,0,470
2016-10-06,1926,6774,4.76,24,1230,193,14,3,735
2016-10-07,1758,5875,4.12,15,1283,145,12,0,515
2016-10-08,2228,18150,14.58,14,1206,147,18,69,1064
2016-10-09,2209,16740,13.38,15,1203,131,36,70,1042
2016-10-10,2322,17690,13.77,24,1158,170,46,66,1195
2016-10-11,1831,6673,4.68,20,1284,132,9,15,583
2016-10-12,1789,7061,4.96,26,1293,111,34,2,533
2016-10-13,1680,3519,2.47,16,1308,132,0,0,412
2016-10-14,1742,4966,3.49,17,1294,140,5,1,486
2016-10-15,2431,23648,18.49,19,1132,189,50,69,1332
2016-10-16,2360,22490,17.61,14,1155,125,92,68,1241
2016-10-17,1839,7867,5.52,25,1262,155,16,7,610
2016-10-18,1771,5130,3.6,15,1283,150,6,1,519
2016-10-19,1924,10345,7.26,24,1230,163,41,6,722
2016-10-20,1917,10146,7.12,15,1241,178,15,6,704
2016-10-21,1896,7400,5.19,19,1258,146,20,16,666
2016-10-22,2141,8105,5.69,17,1144,285,11,0,1023
2016-10-23,1745,3980,2.79,5,1274,156,4,6,499
2016-10-24,1884,7822,5.52,17,1249,161,23,7,662
2016-10-25,1758,4840,3.4,6,1288,152,0,0,498
2016-10-26,2012,10855,7.62,12,1209,188,27,16,829
2016-10-27,2291,18981,13.44,23,1152,174,67,47,1164
2016-10-28,2212,11953,8.39,34,1161,236,12,31,1076
2016-10-29,2532,14592,10.24,28,1093,217,56,74,1463
2016-10-30,1924,7470,5.24,14,1189,235,16,0,761
2016-10-31,2330,10224,7.18,16,1081,302,21,36,1272
2016-11-01,1921,7854,5.51,18,1253,140,27,20,694
2016-11-02,1748,3791,2.66,1,1261,179,0,0,514
2016-11-03,1697,3040,2.13,2,1275,165,0,0,449
2016-11-04,1873,5996,4.21,14,1238,202,0,0,661
2016-11-05,2363,10228,7.18,19,1056,317,32,35,1330
2016-11-06,1817,4834,3.39,9,1254,160,18,8,591
2016-11-07,1875,4998,3.51,9,1297,122,12,9,497
2016-11-08,1713,4930,3.46,6,1282,158,0,0,461
2016-11-09,1651,4069,2.86,4,1329,102,9,0,353
2016-11-10,1762,4944,3.47,13,1272,168,0,0,520
2016-11-11,1992,11138,7.82,26,1214,159,54,13,807
2016-11-12,1754,3684,2.59,18,1295,145,0,0,489
2016-11-13,1859,7067,4.96,16,1260,159,8,13,627
2016-11-14,2087,13687,9.61,34,1200,180,55,5,917
2016-11-15,1667,4047,2.84,19,1323,117,0,0,378
2016-11-16,1887,10367,7.28,26,1252,152,28,8,669
2016-11-17,1795,6684,4.69,28,1290,124,16,10,541
2016-11-18,1839,6749,4.74,37,1262,166,12,0,612
2016-11-19,1732,7494,5.26,15,1288,126,23,3,478
2016-11-20,1928,12520,8.79,15,1202,221,17,0,756
2016-11-21,1798,7243,5.08,24,1304,97,25,14,524
2016-11-22,1713,3325,2.33,14,1322,118,0,0,419
2016-11-23,2033,12467,8.75,32,1216,174,35,15,850
2016-11-24,1947,15615,10.96,15,1171,252,16,1,810
2016-11-25,1900,11917,8.37,15,1217,203,18,2,719
2016-11-26,2070,20626,14.48,16,1141,279,20,0,964
2016-11-27,1815,11930,8.37,11,1242,187,11,0,611
2016-11-28,1925,10862,7.63,24,1208,211,21,0,754
2016-11-29,1773,10301,7.23,18,1267,173,0,0,546
2016-11-30,2087,11030,7.74,23,1215,160,36,29,911
2016-12-01,1936,10739,8,16,1237,168,35,0,740
2016-12-02,1765,10437,7,16,1277,163,0,0,532
2016-12-03,1518,1386,1,6,1368,72,0,0,197
2016-12-04,1662,3430,2,8,1285,146,9,0,423
2016-12-05,1783,10343,7,14,1252,188,0,0,574
2016-12-06,1920,11113,8,19,1238,202,0,0,725
2016-12-07,2036,11752,8,25,1196,202,41,1,881
2016-12-08,1983,6811,5,12,1203,203,23,11,820
2016-12-09,1891,8806,6,7,1247,154,28,11,687
2016-12-10,1860,6950,5,10,1208,221,10,1,694
2016-12-11,1885,6172,4,18,1237,180,19,4,691
2016-12-12,2084,8664,6,7,1159,220,28,33,966
2016-12-13,1991,8576,6,17,1234,141,21,44,799
2016-12-14,1918,6993,5,4,1240,152,19,29,721
2016-12-15,1920,7254,5,31,1204,219,9,8,758
2016-12-16,1802,5809,4,10,1260,167,6,7,586
2016-12-17,2145,11878,8,24,1144,226,48,22,1041
2016-12-18,1697,3722,3,0,1292,133,9,6,450
2016-12-19,1955,8509,6,30,1164,240,32,4,832
2016-12-20,2209,15312,11,24,1096,283,47,14,1151
2016-12-21,1712,3924,3,1,1277,150,7,6,479
2016-12-22,2029,11157,8,33,1156,251,18,15,913
2016-12-23,2049,9501,7,30,1158,263,16,3,931
2016-12-24,2401,14963,11,12,1065,288,55,32,1373
2016-12-25,2022,8675,6,12,1217,179,15,29,847
2016-12-26,1871,7946,6,31,1233,187,14,6,681
2016-12-27,2206,11172,8,27,1102,309,12,17,1143
2016-12-28,1781,4863,3,0,1231,209,0,0,593
2016-12-29,1708,3882,3,0,1288,152,0,0,465
2016-12-30,2009,8912,6,1,1193,189,26,32,858
2016-12-31,1948,8583,6,18,1161,259,16,4,828
